Price,Bedrooms,Bathrooms,Square Footage,Lot Size (Acres),Features,Listing Description
361700.0,5,2.5,2019,0.1,"['spa-like bathrooms', 'professional landscaping', 'walk-in closets', 'gourmet kitchen', 'smart home features', 'energy-efficient systems', 'outdoor living spaces', 'hardwood floors', 'custom lighting']","Prepare for love at first sight with this exceptional 5-bedroom retreat. Tucked away in a scenic enclave, the 2019 square foot home is a sanctuary of modern design. 2.5 thoughtfully designed bathrooms complement the expansive 0.1-acre property. Discover exceptional living through features like walk-in closets, professional landscaping, custom lighting. An unbeatable value at $361,700.0."
280600.0,3,1.5,1384,0.16,"['energy-efficient windows', 'functional storage', 'nice appliances', 'basic landscaping', 'ceiling fans', 'updated kitchen']","Prepare for love at first sight with this charming 3-bedroom retreat. Tucked away in a tree-lined street, the 1384 square foot home is a sanctuary of modern design. 1.5 thoughtfully designed bathrooms complement the expansive 0.2-acre property. Discover exceptional living through features like nice appliances, updated kitchen, ceiling fans, basic landscaping, functional storage. An unbeatable value at $280,600.0."
384300.0,4,2.0,1617,0.1,"['custom lighting', 'professional landscaping', 'walk-in closets', 'gourmet kitchen', 'outdoor living spaces', 'designer windows', 'smart home features']","Your search for perfection ends here! This inviting 4-bedroom home is simply incomparable. Located in a desirable subdivision, the 1617 square foot residence is a breath of fresh air. 2 elegantly appointed bathrooms complement the 0.1-acre grounds. Experience living at its finest with extraordinary features including smart home features, custom lighting, walk-in closets. An investment in your future at $384,300.0."
545400.0,3,1.5,1741,0.44,"['designer windows', 'walk-in closets', 'professional landscaping', 'spa-like bathrooms', 'custom lighting', 'high-end appliances', 'smart home features', 'gourmet kitchen', 'outdoor living spaces', 'energy-efficient systems']","A rare find has arrived! This stunning 3-bedroom residence redefines home living. Commanding a prime location in a tree-lined street, the 1741 square foot layout is pure inspiration. 1.5 carefully designed bathrooms and a 0.4-acre lot offer the ultimate in comfort and style. Be transformed by exceptional features such as energy-efficient systems, outdoor living spaces, high-end appliances, custom lighting. An unbelievable value at $545,400.0."
270000.0,2,1.0,1339,0.1,"['ceiling fans', 'hardwood floors', 'energy-efficient windows', 'basic landscaping', 'modern lighting', 'functional storage', 'nice appliances']","Introducing a home that checks every box! This impressive 2-bedroom property is a true showstopper. Perfectly situated in a up-and-coming area, the 1339 square foot home is a work of art. 1 stunning bathrooms grace this 0.1-acre estate. Fall in love with unique features like modern lighting, nice appliances, hardwood floors, basic landscaping, functional storage. Remarkably accessible at $270,000.0."
270000.0,2,1.0,1278,0.19,"['modern lighting', 'nice appliances', 'ceiling fans', 'updated kitchen', 'energy-efficient windows', 'basic landscaping']","Discover a sophisticated 2-bedroom home that truly stands out in this sought-after community. Spanning 1278 square feet on a 0.2-acre lot, this property offers 1 bathrooms and unparalleled charm. Standout features include updated kitchen, nice appliances, basic landscaping, energy-efficient windows. Priced at $270,000.0, this home represents an extraordinary opportunity for discerning buyers."
557800.0,5,3.0,2358,0.5,"['walk-in closets', 'professional landscaping', 'outdoor living spaces', 'high-end appliances', 'custom lighting', 'gourmet kitchen', 'spa-like bathrooms', 'energy-efficient systems', 'smart home features', 'designer windows']","Welcome to your dream home! This breathtaking 5-bedroom residence redefines modern living. With 3 meticulously designed bathrooms and 2358 square feet of living space, every inch has been carefully considered. The 0.5-acre lot provides ample room for your lifestyle. Highlights include gourmet kitchen, high-end appliances, smart home features. At $557,800.0, this home is a rare find you won't want to miss."
403100.0,3,2.0,1790,0.34,"['energy-efficient systems', 'spa-like bathrooms', 'high-end appliances', 'outdoor living spaces', 'designer windows', 'professional landscaping', 'walk-in closets', 'smart home features', 'custom lighting']","Discover a exceptional 3-bedroom home that truly stands out in this golf course adjacent. Spanning 1790 square feet on a 0.3-acre lot, this property offers 2 bathrooms and unparalleled charm. Standout features include spa-like bathrooms, custom lighting, professional landscaping. Priced at $403,100.0, this home represents an extraordinary opportunity for discerning buyers."
245800.0,3,1.5,1409,0.13,"['updated kitchen', 'nice appliances', 'energy-efficient windows', 'hardwood floors', 'modern lighting', 'basic landscaping']","Your search ends here! This serene 3-bedroom masterpiece is a testament to refined living. Nestled in a waterfront community, the 1409 square foot home boasts 1.5 perfectly appointed bathrooms. The 0.1-acre property offers both elegance and functionality. Elevate your lifestyle with features like hardwood floors, energy-efficient windows, modern lighting, nice appliances. Competitively priced at $245,800.0, this home won't last long."
368400.0,3,2.0,1439,0.26,"['energy-efficient systems', 'spa-like bathrooms', 'custom lighting', 'high-end appliances', 'outdoor living spaces', 'hardwood floors', 'professional landscaping']","Prepare for love at first sight with this beautiful 3-bedroom retreat. Tucked away in a quiet cul-de-sac, the 1439 square foot home is a sanctuary of modern design. 2 thoughtfully designed bathrooms complement the expansive 0.3-acre property. Discover exceptional living through features like professional landscaping, custom lighting, outdoor living spaces, high-end appliances, spa-like bathrooms. An unbeatable value at $368,400.0."
